generation; best; average; worst
1; 0.346535; 0.209386; 0.0891089
2; 0.326733; 0.210475; 0.0990099
3; 0.336634; 0.208515; 0.0891089
4; 0.336634; 0.210079; 0.0891089
5; 0.326733; 0.211842; 0.108911
6; 0.316832; 0.21097; 0.108911
7; 0.316832; 0.209723; 0.0990099
8; 0.326733; 0.21; 0.108911
9; 0.326733; 0.208812; 0.108911
10; 0.336634; 0.212218; 0.108911
11; 0.336634; 0.21103; 0.0990099
12; 0.336634; 0.20998; 0.0990099
13; 0.326733; 0.210376; 0.0990099
14; 0.336634; 0.210653; 0.0990099
15; 0.326733; 0.212158; 0.0990099
16; 0.336634; 0.211228; 0.108911
17; 0.356436; 0.213149; 0.0792079
18; 0.376238; 0.212; 0.108911
19; 0.356436; 0.212792; 0.0891089
20; 0.316832; 0.21105; 0.0891089
21; 0.336634; 0.208832; 0.0990099
22; 0.346535; 0.206891; 0.0990099
23; 0.316832; 0.207505; 0.0990099
24; 0.346535; 0.211782; 0.0990099
25; 0.326733; 0.208238; 0.108911
26; 0.346535; 0.214475; 0.0990099
27; 0.405941; 0.21402; 0.0990099
28; 0.336634; 0.209624; 0.0891089
29; 0.346535; 0.209307; 0.0990099
30; 0.346535; 0.210733; 0.108911
31; 0.336634; 0.208356; 0.0990099
32; 0.336634; 0.209267; 0.0693069
33; 0.326733; 0.212832; 0.0990099
34; 0.326733; 0.213366; 0.0693069
35; 0.356436; 0.209861; 0.0891089
36; 0.356436; 0.209168; 0.108911
37; 0.346535; 0.210297; 0.0990099
38; 0.356436; 0.212455; 0.0891089
39; 0.326733; 0.209545; 0.0792079
40; 0.316832; 0.209604; 0.0990099
41; 0.326733; 0.208297; 0.0990099
42; 0.386139; 0.211703; 0.0891089
43; 0.336634; 0.211188; 0.108911
44; 0.326733; 0.209842; 0.0891089
45; 0.356436; 0.212931; 0.108911
46; 0.336634; 0.208594; 0.0990099
47; 0.376238; 0.21204; 0.108911
48; 0.336634; 0.20796; 0.108911
49; 0.326733; 0.208178; 0.0891089
50; 0.356436; 0.214119; 0.0990099
51; 0.356436; 0.211624; 0.0792079
52; 0.336634; 0.214297; 0.0891089
53; 0.346535; 0.211465; 0.108911
54; 0.366337; 0.21103; 0.0990099
55; 0.336634; 0.208594; 0.108911
56; 0.336634; 0.209762; 0.0693069
57; 0.326733; 0.209564; 0.0990099
58; 0.346535; 0.211188; 0.0891089
59; 0.326733; 0.212396; 0.0990099
60; 0.366337; 0.20998; 0.0792079
61; 0.336634; 0.210139; 0.0990099
62; 0.316832; 0.211545; 0.118812
63; 0.336634; 0.210356; 0.0990099
64; 0.376238; 0.210871; 0.118812
65; 0.356436; 0.207208; 0.0693069
66; 0.346535; 0.209644; 0.0792079
67; 0.376238; 0.212851; 0.108911
68; 0.336634; 0.209822; 0.0792079
69; 0.366337; 0.211802; 0.0990099
70; 0.346535; 0.211842; 0.0990099
71; 0.386139; 0.207802; 0.0990099
72; 0.336634; 0.213564; 0.0891089
73; 0.356436; 0.211545; 0.0594059
74; 0.316832; 0.209683; 0.0891089
75; 0.326733; 0.20903; 0.0891089
76; 0.336634; 0.21; 0.0891089
77; 0.326733; 0.208455; 0.0990099
78; 0.326733; 0.209921; 0.108911
79; 0.346535; 0.212594; 0.0990099
80; 0.326733; 0.212376; 0.0990099
81; 0.336634; 0.212059; 0.0792079
82; 0.336634; 0.210634; 0.108911
83; 0.326733; 0.210871; 0.108911
84; 0.336634; 0.20899; 0.0594059
85; 0.336634; 0.211802; 0.118812
86; 0.336634; 0.210772; 0.0792079
87; 0.326733; 0.211109; 0.108911
88; 0.326733; 0.210416; 0.0990099
89; 0.326733; 0.211703; 0.0990099
90; 0.316832; 0.21196; 0.108911
91; 0.316832; 0.209822; 0.0891089
92; 0.346535; 0.211089; 0.0792079
93; 0.326733; 0.209782; 0.0990099
94; 0.356436; 0.214139; 0.108911
95; 0.336634; 0.210297; 0.108911
96; 0.326733; 0.209921; 0.0990099
97; 0.366337; 0.209604; 0.108911
98; 0.336634; 0.208871; 0.108911
99; 0.336634; 0.211901; 0.118812
100; 0.306931; 0.208139; 0.108911
101; 0.346535; 0.208693; 0.0990099
