generation; best; average; worst
1; 0.316832; 0.208911; 0.0990099
2; 0.316832; 0.210297; 0.0990099
3; 0.356436; 0.208614; 0.0891089
4; 0.346535; 0.210653; 0.0891089
5; 0.336634; 0.210634; 0.0891089
6; 0.316832; 0.211069; 0.0792079
7; 0.376238; 0.212277; 0.0990099
8; 0.316832; 0.205248; 0.0990099
9; 0.356436; 0.210337; 0.118812
10; 0.326733; 0.209782; 0.0990099
11; 0.346535; 0.212871; 0.0990099
12; 0.336634; 0.21295; 0.0990099
13; 0.346535; 0.21402; 0.0693069
14; 0.336634; 0.208515; 0.108911
15; 0.336634; 0.205683; 0.0891089
16; 0.326733; 0.211386; 0.0990099
17; 0.336634; 0.211307; 0.0891089
18; 0.356436; 0.207485; 0.0891089
19; 0.356436; 0.207426; 0.0990099
20; 0.316832; 0.208257; 0.0990099
21; 0.336634; 0.209287; 0.0891089
22; 0.336634; 0.212; 0.0990099
23; 0.336634; 0.208931; 0.0891089
24; 0.316832; 0.208396; 0.0990099
25; 0.326733; 0.209465; 0.0891089
26; 0.346535; 0.207089; 0.0792079
27; 0.346535; 0.215822; 0.108911
28; 0.356436; 0.211307; 0.108911
29; 0.336634; 0.211208; 0.0990099
30; 0.336634; 0.211723; 0.0891089
31; 0.326733; 0.212356; 0.118812
32; 0.346535; 0.21097; 0.0990099
33; 0.356436; 0.209307; 0.0693069
34; 0.326733; 0.208931; 0.0891089
35; 0.326733; 0.212139; 0.108911
36; 0.356436; 0.211802; 0.0990099
37; 0.356436; 0.208713; 0.0891089
38; 0.336634; 0.208238; 0.0990099
39; 0.366337; 0.213089; 0.0990099
40; 0.316832; 0.210059; 0.0990099
41; 0.346535; 0.213921; 0.0891089
42; 0.356436; 0.214396; 0.118812
43; 0.346535; 0.213307; 0.0990099
44; 0.366337; 0.21103; 0.0990099
45; 0.336634; 0.207624; 0.108911
46; 0.336634; 0.208079; 0.0990099
47; 0.346535; 0.213505; 0.108911
48; 0.336634; 0.212475; 0.108911
49; 0.336634; 0.210891; 0.0891089
50; 0.346535; 0.210733; 0.0891089
51; 0.316832; 0.212515; 0.0891089
52; 0.336634; 0.212495; 0.0891089
53; 0.366337; 0.208396; 0.0891089
54; 0.336634; 0.20998; 0.0990099
55; 0.336634; 0.209624; 0.0990099
56; 0.356436; 0.207069; 0.0990099
57; 0.356436; 0.211386; 0.0792079
58; 0.336634; 0.21004; 0.0891089
59; 0.336634; 0.209683; 0.0990099
60; 0.356436; 0.206495; 0.0990099
61; 0.336634; 0.21095; 0.108911
62; 0.346535; 0.210218; 0.108911
63; 0.376238; 0.209881; 0.108911
