generation; best; average; worst
1; 0.234765; 0.218581; 0.207792
2; 0.238761; 0.216384; 0.193806
3; 0.242757; 0.217582; 0.190809
4; 0.241758; 0.218681; 0.196803
5; 0.246753; 0.228472; 0.20979
6; 0.271728; 0.231269; 0.198801
7; 0.246753; 0.232967; 0.214785
8; 0.262737; 0.234665; 0.217782
9; 0.257742; 0.229071; 0.20979
10; 0.250749; 0.222877; 0.200799
11; 0.24975; 0.233267; 0.213786
12; 0.246753; 0.228472; 0.200799
13; 0.271728; 0.238861; 0.210789
14; 0.250749; 0.227373; 0.211788
15; 0.273726; 0.240759; 0.220779
16; 0.260739; 0.235465; 0.220779
17; 0.261738; 0.234166; 0.212787
18; 0.263736; 0.238362; 0.201798
19; 0.245754; 0.226673; 0.211788
20; 0.257742; 0.230969; 0.200799
21; 0.263736; 0.235864; 0.207792
22; 0.256743; 0.233367; 0.202797
23; 0.25974; 0.229171; 0.207792
24; 0.255744; 0.235265; 0.210789
25; 0.263736; 0.234166; 0.218781
26; 0.267732; 0.232068; 0.201798
27; 0.281718; 0.231768; 0.212787
28; 0.250749; 0.239061; 0.218781
29; 0.254745; 0.236963; 0.208791
30; 0.258741; 0.228771; 0.204795
31; 0.256743; 0.233866; 0.194805
32; 0.272727; 0.233766; 0.190809
33; 0.260739; 0.241359; 0.221778
34; 0.255744; 0.232567; 0.214785
35; 0.254745; 0.233866; 0.214785
36; 0.264735; 0.227772; 0.201798
37; 0.253746; 0.235465; 0.212787
38; 0.276723; 0.232168; 0.213786
39; 0.24975; 0.22967; 0.215784
40; 0.254745; 0.235465; 0.216783
41; 0.265734; 0.243357; 0.228771
42; 0.250749; 0.228771; 0.208791
43; 0.268731; 0.244655; 0.225774
44; 0.244755; 0.22967; 0.204795
45; 0.262737; 0.238961; 0.226773
46; 0.24975; 0.226274; 0.196803
47; 0.24975; 0.23037; 0.206793
48; 0.23976; 0.227772; 0.197802
49; 0.242757; 0.22977; 0.208791
50; 0.248751; 0.231668; 0.205794
51; 0.244755; 0.22977; 0.21978
52; 0.264735; 0.243457; 0.207792
53; 0.271728; 0.232667; 0.205794
54; 0.243756; 0.226274; 0.20979
55; 0.24975; 0.226673; 0.202797
56; 0.243756; 0.235564; 0.210789
57; 0.255744; 0.237962; 0.223776
58; 0.244755; 0.226573; 0.196803
59; 0.24975; 0.228172; 0.220779
60; 0.24975; 0.226773; 0.210789
61; 0.25974; 0.234466; 0.217782
62; 0.267732; 0.23017; 0.202797
63; 0.254745; 0.24036; 0.227772
64; 0.25974; 0.233267; 0.213786
65; 0.258741; 0.241958; 0.223776
66; 0.255744; 0.234266; 0.212787
67; 0.256743; 0.235664; 0.217782
68; 0.258741; 0.235564; 0.206793
69; 0.254745; 0.228372; 0.208791
70; 0.272727; 0.231069; 0.202797
71; 0.250749; 0.228072; 0.212787
72; 0.248751; 0.226274; 0.201798
73; 0.287712; 0.237962; 0.217782
74; 0.258741; 0.242458; 0.224775
75; 0.260739; 0.235864; 0.212787
76; 0.264735; 0.242258; 0.221778
77; 0.253746; 0.236364; 0.221778
78; 0.255744; 0.243856; 0.236763
79; 0.268731; 0.244755; 0.227772
80; 0.25974; 0.239061; 0.215784
81; 0.252747; 0.234366; 0.211788
82; 0.266733; 0.241658; 0.223776
83; 0.258741; 0.241858; 0.226773
84; 0.264735; 0.245155; 0.226773
85; 0.256743; 0.238861; 0.217782
86; 0.260739; 0.233666; 0.193806
87; 0.282717; 0.24026; 0.200799
88; 0.270729; 0.243357; 0.226773
89; 0.262737; 0.243257; 0.221778
90; 0.260739; 0.24026; 0.212787
91; 0.276723; 0.25035; 0.22977
92; 0.268731; 0.242358; 0.218781
93; 0.266733; 0.245654; 0.21978
94; 0.260739; 0.24026; 0.222777
95; 0.265734; 0.237662; 0.211788
96; 0.271728; 0.23986; 0.223776
97; 0.265734; 0.244855; 0.226773
98; 0.267732; 0.237463; 0.212787
99; 0.251748; 0.235764; 0.204795
100; 0.277722; 0.245854; 0.223776
101; 0.264735; 0.233566; 0.196803
102; 0.263736; 0.237662; 0.218781
103; 0.276723; 0.248551; 0.231768
104; 0.263736; 0.246154; 0.231768
105; 0.280719; 0.250949; 0.232767
106; 0.248751; 0.231668; 0.198801
107; 0.253746; 0.235964; 0.211788
108; 0.242757; 0.225974; 0.211788
109; 0.26973; 0.237862; 0.20979
110; 0.253746; 0.238262; 0.21978
111; 0.243756; 0.220879; 0.202797
112; 0.254745; 0.228971; 0.204795
113; 0.256743; 0.230769; 0.212787
114; 0.258741; 0.228871; 0.204795
115; 0.253746; 0.237762; 0.227772
116; 0.257742; 0.234765; 0.217782
117; 0.260739; 0.235564; 0.214785
118; 0.261738; 0.242058; 0.216783
119; 0.260739; 0.24036; 0.222777
120; 0.277722; 0.24046; 0.192807
121; 0.255744; 0.234765; 0.214785
122; 0.254745; 0.231269; 0.21978
123; 0.260739; 0.241159; 0.220779
124; 0.24975; 0.225674; 0.208791
125; 0.245754; 0.231868; 0.215784
126; 0.255744; 0.228671; 0.211788
127; 0.257742; 0.235465; 0.213786
128; 0.255744; 0.235265; 0.20979
129; 0.243756; 0.225574; 0.195804
130; 0.267732; 0.235165; 0.204795
131; 0.258741; 0.231568; 0.217782
132; 0.263736; 0.241259; 0.220779
133; 0.271728; 0.231469; 0.20979
134; 0.26973; 0.241958; 0.216783
135; 0.243756; 0.226174; 0.206793
136; 0.24975; 0.234066; 0.215784
137; 0.254745; 0.236064; 0.203796
138; 0.248751; 0.226673; 0.208791
139; 0.252747; 0.228771; 0.203796
140; 0.260739; 0.227473; 0.191808
141; 0.240759; 0.223776; 0.210789
142; 0.244755; 0.215485; 0.183816
143; 0.25974; 0.217682; 0.187812
144; 0.265734; 0.237562; 0.212787
145; 0.260739; 0.235764; 0.18981
146; 0.260739; 0.236663; 0.215784
147; 0.251748; 0.227473; 0.20979
148; 0.251748; 0.228472; 0.203796
149; 0.236763; 0.22028; 0.205794
150; 0.244755; 0.225375; 0.208791
