generation; best; average; worst
1; 0.237525; 0.212774; 0.177645
2; 0.251497; 0.21996; 0.185629
3; 0.289421; 0.23992; 0.205589
4; 0.303393; 0.251896; 0.217565
5; 0.265469; 0.225549; 0.191617
6; 0.267465; 0.229541; 0.191617
7; 0.261477; 0.225349; 0.171657
8; 0.273453; 0.238922; 0.189621
9; 0.271457; 0.236926; 0.199601
10; 0.287425; 0.239122; 0.189621
11; 0.279441; 0.236727; 0.187625
12; 0.279441; 0.243513; 0.201597
13; 0.277445; 0.238723; 0.217565
14; 0.283433; 0.232335; 0.175649
15; 0.285429; 0.246307; 0.193613
16; 0.267465; 0.218762; 0.187625
17; 0.255489; 0.234531; 0.195609
18; 0.261477; 0.228343; 0.185629
19; 0.265469; 0.231337; 0.197605
20; 0.277445; 0.237126; 0.191617
21; 0.273453; 0.229142; 0.189621
22; 0.279441; 0.249701; 0.221557
23; 0.261477; 0.217964; 0.183633
24; 0.291417; 0.247305; 0.197605
25; 0.291417; 0.249301; 0.219561
26; 0.245509; 0.232735; 0.207585
27; 0.291417; 0.236327; 0.193613
28; 0.257485; 0.232136; 0.193613
29; 0.271457; 0.249701; 0.199601
30; 0.269461; 0.235729; 0.207585
31; 0.269461; 0.22495; 0.185629
32; 0.245509; 0.229741; 0.207585
33; 0.273453; 0.2501; 0.217565
34; 0.277445; 0.238323; 0.207585
35; 0.293413; 0.247505; 0.205589
36; 0.265469; 0.229541; 0.197605
37; 0.271457; 0.23992; 0.199601
38; 0.257485; 0.223553; 0.181637
39; 0.241517; 0.219162; 0.185629
40; 0.221557; 0.197405; 0.171657
41; 0.221557; 0.207186; 0.185629
42; 0.233533; 0.214371; 0.185629
43; 0.229541; 0.208383; 0.187625
44; 0.249501; 0.219561; 0.195609
45; 0.275449; 0.220958; 0.191617
46; 0.287425; 0.23992; 0.179641
47; 0.257485; 0.233533; 0.193613
48; 0.263473; 0.231337; 0.197605
49; 0.291417; 0.245309; 0.177645
50; 0.261477; 0.236527; 0.181637
51; 0.289421; 0.242914; 0.207585
52; 0.289421; 0.241717; 0.199601
53; 0.293413; 0.250898; 0.223553
54; 0.281437; 0.240719; 0.193613
55; 0.269461; 0.235729; 0.201597
56; 0.267465; 0.246906; 0.211577
57; 0.287425; 0.236527; 0.189621
58; 0.301397; 0.2499; 0.203593
59; 0.293413; 0.256687; 0.221557
60; 0.299401; 0.262874; 0.235529
61; 0.263473; 0.246906; 0.225549
62; 0.303393; 0.257285; 0.225549
63; 0.283433; 0.2501; 0.223553
64; 0.293413; 0.247106; 0.215569
65; 0.277445; 0.248902; 0.199601
66; 0.285429; 0.251497; 0.177645
67; 0.273453; 0.245709; 0.209581
68; 0.275449; 0.245709; 0.199601
69; 0.273453; 0.231337; 0.185629
70; 0.277445; 0.241517; 0.179641
71; 0.285429; 0.251497; 0.211577
72; 0.289421; 0.243114; 0.201597
73; 0.289421; 0.236926; 0.175649
74; 0.279441; 0.245509; 0.201597
75; 0.259481; 0.229142; 0.177645
76; 0.265469; 0.247904; 0.217565
77; 0.281437; 0.231737; 0.211577
78; 0.287425; 0.241517; 0.197605
79; 0.265469; 0.237525; 0.183633
80; 0.293413; 0.257285; 0.213573
81; 0.289421; 0.237924; 0.199601
82; 0.279441; 0.255489; 0.223553
83; 0.299401; 0.255689; 0.217565
84; 0.303393; 0.251297; 0.199601
85; 0.285429; 0.253094; 0.223553
86; 0.323353; 0.259281; 0.229541
87; 0.299401; 0.255888; 0.199601
88; 0.301397; 0.258683; 0.215569
89; 0.315369; 0.247305; 0.199601
90; 0.273453; 0.249501; 0.217565
91; 0.285429; 0.250898; 0.221557
92; 0.279441; 0.251098; 0.225549
93; 0.281437; 0.267864; 0.249501
94; 0.261477; 0.243114; 0.219561
95; 0.271457; 0.243114; 0.207585
96; 0.273453; 0.258283; 0.239521
97; 0.305389; 0.256287; 0.229541
98; 0.285429; 0.257884; 0.215569
99; 0.273453; 0.247106; 0.205589
100; 0.307385; 0.252695; 0.217565
101; 0.287425; 0.242515; 0.219561
102; 0.283433; 0.252295; 0.225549
103; 0.275449; 0.241517; 0.207585
104; 0.275449; 0.252096; 0.225549
105; 0.279441; 0.251697; 0.225549
106; 0.297405; 0.266068; 0.245509
107; 0.295409; 0.261277; 0.229541
108; 0.281437; 0.251697; 0.233533
109; 0.289421; 0.262076; 0.241517
110; 0.291417; 0.251297; 0.225549
111; 0.267465; 0.246707; 0.237525
112; 0.319361; 0.26986; 0.215569
113; 0.319361; 0.266667; 0.231537
114; 0.283433; 0.251098; 0.215569
115; 0.297405; 0.257285; 0.209581
116; 0.279441; 0.254291; 0.207585
117; 0.279441; 0.254691; 0.203593
118; 0.283433; 0.252894; 0.201597
119; 0.283433; 0.246906; 0.181637
120; 0.297405; 0.24012; 0.199601
121; 0.279441; 0.244711; 0.211577
122; 0.311377; 0.244511; 0.213573
123; 0.269461; 0.234531; 0.197605
124; 0.275449; 0.241517; 0.195609
125; 0.287425; 0.251697; 0.211577
126; 0.291417; 0.260878; 0.235529
127; 0.275449; 0.260279; 0.233533
128; 0.295409; 0.247305; 0.199601
129; 0.283433; 0.245309; 0.191617
130; 0.273453; 0.244511; 0.197605
131; 0.293413; 0.265868; 0.237525
132; 0.311377; 0.258283; 0.199601
133; 0.311377; 0.243513; 0.205589
134; 0.293413; 0.246307; 0.203593
135; 0.293413; 0.252495; 0.219561
136; 0.303393; 0.266667; 0.231537
137; 0.283433; 0.261677; 0.223553
138; 0.303393; 0.251896; 0.213573
139; 0.275449; 0.246307; 0.223553
140; 0.283433; 0.253892; 0.223553
141; 0.283433; 0.25489; 0.231537
142; 0.279441; 0.249501; 0.221557
143; 0.281437; 0.244511; 0.201597
144; 0.275449; 0.237525; 0.191617
145; 0.263473; 0.231138; 0.205589
146; 0.283433; 0.239521; 0.197605
147; 0.263473; 0.231337; 0.195609
148; 0.277445; 0.243513; 0.199601
149; 0.277445; 0.240319; 0.201597
150; 0.275449; 0.242515; 0.205589
151; 0.283433; 0.255888; 0.233533
152; 0.275449; 0.256487; 0.217565
153; 0.277445; 0.228743; 0.181637
154; 0.293413; 0.249301; 0.211577
155; 0.289421; 0.241916; 0.171657
156; 0.271457; 0.238922; 0.199601
157; 0.311377; 0.250898; 0.215569
158; 0.265469; 0.247106; 0.235529
159; 0.261477; 0.233134; 0.193613
160; 0.313373; 0.262475; 0.229541
161; 0.269461; 0.238124; 0.187625
162; 0.279441; 0.245309; 0.183633
163; 0.277445; 0.256687; 0.227545
164; 0.307385; 0.230739; 0.195609
165; 0.289421; 0.241118; 0.189621
166; 0.273453; 0.241916; 0.189621
167; 0.299401; 0.250299; 0.205589
