generation; best; average; worst
1; 0.358209; 0.30398; 0.248756
2; 0.348259; 0.3; 0.228856
3; 0.348259; 0.312935; 0.263682
4; 0.363184; 0.307214; 0.268657
5; 0.353234; 0.31592; 0.248756
6; 0.358209; 0.304975; 0.218905
7; 0.373134; 0.300995; 0.233831
8; 0.38806; 0.294527; 0.243781
9; 0.363184; 0.295771; 0.228856
10; 0.368159; 0.317413; 0.263682
11; 0.373134; 0.305721; 0.199005
12; 0.348259; 0.294776; 0.248756
13; 0.378109; 0.301244; 0.233831
14; 0.373134; 0.308458; 0.253731
15; 0.358209; 0.291791; 0.223881
16; 0.368159; 0.309204; 0.243781
17; 0.373134; 0.311443; 0.283582
18; 0.373134; 0.30398; 0.233831
19; 0.358209; 0.297761; 0.233831
20; 0.353234; 0.303731; 0.263682
21; 0.373134; 0.30796; 0.253731
22; 0.378109; 0.309453; 0.258706
23; 0.338308; 0.292289; 0.238806
24; 0.373134; 0.305473; 0.223881
25; 0.38806; 0.30597; 0.243781
26; 0.412935; 0.308955; 0.228856
27; 0.348259; 0.305473; 0.223881
28; 0.358209; 0.311194; 0.253731
29; 0.363184; 0.298259; 0.21393
30; 0.363184; 0.316667; 0.253731
31; 0.358209; 0.292786; 0.228856
32; 0.378109; 0.301244; 0.253731
33; 0.368159; 0.303731; 0.233831
34; 0.348259; 0.293532; 0.20398
35; 0.38806; 0.288806; 0.21393
36; 0.338308; 0.303234; 0.268657
37; 0.358209; 0.297264; 0.233831
38; 0.402985; 0.312687; 0.268657
39; 0.368159; 0.310199; 0.248756
40; 0.353234; 0.300746; 0.228856
41; 0.383085; 0.301741; 0.258706
42; 0.422886; 0.310945; 0.243781
43; 0.358209; 0.299751; 0.248756
44; 0.383085; 0.315174; 0.268657
45; 0.348259; 0.302239; 0.248756
46; 0.328358; 0.295274; 0.253731
47; 0.343284; 0.301493; 0.233831
48; 0.358209; 0.307463; 0.268657
49; 0.348259; 0.302239; 0.238806
50; 0.343284; 0.299751; 0.268657
51; 0.363184; 0.304229; 0.238806
52; 0.38806; 0.297264; 0.253731
53; 0.378109; 0.306468; 0.248756
54; 0.383085; 0.312687; 0.243781
55; 0.353234; 0.30398; 0.238806
56; 0.402985; 0.301493; 0.243781
57; 0.38806; 0.309453; 0.248756
58; 0.363184; 0.31194; 0.263682
59; 0.378109; 0.311194; 0.228856
60; 0.378109; 0.308955; 0.253731
61; 0.353234; 0.30995; 0.248756
62; 0.348259; 0.312687; 0.278607
63; 0.368159; 0.30796; 0.263682
64; 0.363184; 0.303234; 0.233831
65; 0.38806; 0.302488; 0.223881
66; 0.373134; 0.293781; 0.248756
67; 0.338308; 0.28607; 0.238806
68; 0.348259; 0.300995; 0.253731
69; 0.378109; 0.320647; 0.268657
70; 0.343284; 0.299751; 0.248756
71; 0.338308; 0.299502; 0.228856
72; 0.38806; 0.313682; 0.253731
73; 0.363184; 0.300498; 0.233831
74; 0.358209; 0.296269; 0.243781
75; 0.358209; 0.304229; 0.228856
76; 0.378109; 0.30199; 0.253731
77; 0.383085; 0.31393; 0.268657
78; 0.378109; 0.31592; 0.248756
79; 0.373134; 0.303483; 0.233831
80; 0.383085; 0.311692; 0.238806
81; 0.373134; 0.305224; 0.258706
82; 0.393035; 0.310199; 0.208955
83; 0.363184; 0.304229; 0.228856
84; 0.373134; 0.301741; 0.253731
85; 0.338308; 0.297512; 0.228856
86; 0.373134; 0.309453; 0.243781
87; 0.378109; 0.304229; 0.243781
88; 0.363184; 0.310697; 0.218905
89; 0.402985; 0.306219; 0.199005
90; 0.338308; 0.302736; 0.248756
91; 0.38806; 0.305224; 0.233831
92; 0.358209; 0.313184; 0.218905
93; 0.343284; 0.305473; 0.243781
