generation; best; average; worst
1; 0.368159; 0.307214; 0.243781
2; 0.393035; 0.304726; 0.248756
3; 0.38806; 0.305224; 0.248756
4; 0.353234; 0.310945; 0.263682
5; 0.368159; 0.296766; 0.238806
6; 0.358209; 0.306965; 0.263682
7; 0.373134; 0.300995; 0.228856
8; 0.383085; 0.316169; 0.248756
9; 0.378109; 0.314179; 0.258706
10; 0.368159; 0.297761; 0.248756
11; 0.353234; 0.297512; 0.208955
12; 0.358209; 0.30796; 0.258706
13; 0.348259; 0.29801; 0.238806
14; 0.363184; 0.30199; 0.243781
15; 0.358209; 0.302239; 0.228856
16; 0.383085; 0.314179; 0.263682
17; 0.353234; 0.309204; 0.253731
18; 0.38806; 0.312189; 0.263682
19; 0.348259; 0.301493; 0.258706
20; 0.358209; 0.30398; 0.228856
21; 0.363184; 0.30995; 0.268657
22; 0.363184; 0.29403; 0.238806
23; 0.368159; 0.313184; 0.248756
24; 0.343284; 0.297015; 0.253731
25; 0.368159; 0.318905; 0.273632
26; 0.378109; 0.304975; 0.228856
27; 0.373134; 0.316169; 0.258706
28; 0.338308; 0.292289; 0.248756
29; 0.343284; 0.299502; 0.223881
30; 0.343284; 0.29005; 0.233831
31; 0.353234; 0.29602; 0.248756
32; 0.383085; 0.317662; 0.258706
33; 0.353234; 0.301493; 0.253731
34; 0.393035; 0.304726; 0.238806
35; 0.368159; 0.307214; 0.223881
36; 0.358209; 0.319154; 0.253731
37; 0.353234; 0.30796; 0.248756
38; 0.363184; 0.308706; 0.238806
39; 0.38806; 0.289552; 0.233831
40; 0.343284; 0.294776; 0.223881
41; 0.373134; 0.309204; 0.248756
42; 0.353234; 0.296766; 0.233831
43; 0.368159; 0.305224; 0.228856
44; 0.353234; 0.299502; 0.218905
45; 0.393035; 0.297264; 0.233831
46; 0.363184; 0.299005; 0.248756
47; 0.343284; 0.292786; 0.228856
48; 0.40796; 0.314677; 0.218905
49; 0.338308; 0.305721; 0.238806
50; 0.363184; 0.314925; 0.273632
51; 0.368159; 0.301244; 0.253731
52; 0.338308; 0.293532; 0.223881
53; 0.338308; 0.297264; 0.248756
54; 0.348259; 0.302239; 0.238806
55; 0.363184; 0.304975; 0.233831
56; 0.383085; 0.307463; 0.228856
57; 0.373134; 0.310945; 0.253731
58; 0.333333; 0.29801; 0.238806
59; 0.383085; 0.307463; 0.253731
60; 0.338308; 0.297761; 0.263682
61; 0.348259; 0.30597; 0.253731
62; 0.358209; 0.300249; 0.243781
63; 0.383085; 0.310448; 0.248756
64; 0.343284; 0.30199; 0.238806
65; 0.348259; 0.302239; 0.268657
66; 0.348259; 0.304975; 0.238806
67; 0.39801; 0.312935; 0.243781
68; 0.343284; 0.28607; 0.20398
69; 0.363184; 0.304975; 0.223881
70; 0.338308; 0.285075; 0.253731
71; 0.373134; 0.306716; 0.268657
72; 0.333333; 0.297015; 0.243781
73; 0.378109; 0.307711; 0.223881
74; 0.373134; 0.293284; 0.223881
75; 0.343284; 0.301741; 0.238806
76; 0.402985; 0.308209; 0.263682
77; 0.368159; 0.299005; 0.248756
78; 0.348259; 0.309453; 0.253731
79; 0.358209; 0.307711; 0.243781
80; 0.358209; 0.3; 0.233831
81; 0.378109; 0.301493; 0.258706
82; 0.363184; 0.311443; 0.268657
83; 0.343284; 0.302736; 0.243781
84; 0.353234; 0.308706; 0.253731
85; 0.358209; 0.309204; 0.248756
86; 0.353234; 0.308706; 0.253731
87; 0.422886; 0.297264; 0.228856
88; 0.353234; 0.302985; 0.228856
89; 0.368159; 0.312438; 0.258706
90; 0.368159; 0.301244; 0.263682
91; 0.363184; 0.291045; 0.218905
92; 0.353234; 0.295771; 0.20398
93; 0.343284; 0.298259; 0.223881
94; 0.353234; 0.302488; 0.258706
95; 0.358209; 0.301741; 0.263682
96; 0.412935; 0.315423; 0.238806
97; 0.353234; 0.303483; 0.208955
98; 0.343284; 0.30199; 0.248756
99; 0.39801; 0.304229; 0.223881
100; 0.378109; 0.307214; 0.243781
101; 0.363184; 0.307711; 0.248756
102; 0.373134; 0.311692; 0.263682
103; 0.363184; 0.305473; 0.243781
104; 0.348259; 0.3; 0.248756
105; 0.383085; 0.297761; 0.218905
106; 0.343284; 0.303483; 0.243781
107; 0.378109; 0.304726; 0.248756
108; 0.368159; 0.301741; 0.20398
109; 0.358209; 0.295771; 0.243781
110; 0.368159; 0.296766; 0.218905
111; 0.358209; 0.309204; 0.258706
112; 0.368159; 0.320647; 0.258706
113; 0.343284; 0.306716; 0.258706
114; 0.402985; 0.290547; 0.21393
115; 0.368159; 0.299005; 0.253731
116; 0.373134; 0.309701; 0.258706
117; 0.348259; 0.309204; 0.248756
118; 0.353234; 0.307711; 0.278607
119; 0.368159; 0.306219; 0.248756
120; 0.358209; 0.305473; 0.243781
121; 0.348259; 0.297512; 0.21393
122; 0.373134; 0.310945; 0.248756
123; 0.368159; 0.298756; 0.238806
124; 0.38806; 0.311194; 0.263682
125; 0.343284; 0.312438; 0.273632
126; 0.383085; 0.3199; 0.263682
127; 0.383085; 0.310945; 0.253731
128; 0.368159; 0.295025; 0.248756
129; 0.358209; 0.302488; 0.248756
130; 0.348259; 0.298507; 0.243781
131; 0.358209; 0.305224; 0.248756
132; 0.378109; 0.29801; 0.223881
133; 0.358209; 0.299005; 0.253731
134; 0.373134; 0.290796; 0.228856
135; 0.368159; 0.303731; 0.258706
136; 0.358209; 0.306716; 0.233831
137; 0.348259; 0.294776; 0.218905
138; 0.353234; 0.300498; 0.243781
139; 0.373134; 0.303234; 0.243781
140; 0.368159; 0.30597; 0.238806
141; 0.368159; 0.285572; 0.223881
142; 0.378109; 0.298259; 0.243781
143; 0.373134; 0.304229; 0.233831
144; 0.363184; 0.304975; 0.243781
145; 0.358209; 0.306965; 0.218905
146; 0.368159; 0.306468; 0.263682
147; 0.343284; 0.301244; 0.253731
148; 0.373134; 0.304726; 0.238806
149; 0.353234; 0.306965; 0.263682
150; 0.333333; 0.295771; 0.253731
151; 0.373134; 0.308706; 0.273632
152; 0.383085; 0.304229; 0.258706
153; 0.363184; 0.309701; 0.263682
154; 0.353234; 0.304229; 0.258706
155; 0.348259; 0.301741; 0.243781
156; 0.338308; 0.302985; 0.253731
157; 0.363184; 0.31791; 0.273632
158; 0.363184; 0.327363; 0.268657
159; 0.353234; 0.304975; 0.263682
160; 0.368159; 0.308209; 0.228856
161; 0.363184; 0.306219; 0.243781
162; 0.353234; 0.295771; 0.253731
163; 0.373134; 0.302736; 0.243781
164; 0.358209; 0.29602; 0.223881
165; 0.378109; 0.309453; 0.223881
166; 0.348259; 0.305473; 0.228856
167; 0.338308; 0.296269; 0.238806
168; 0.348259; 0.302239; 0.243781
169; 0.353234; 0.304726; 0.233831
170; 0.368159; 0.317164; 0.273632
171; 0.353234; 0.306219; 0.243781
172; 0.348259; 0.31194; 0.268657
173; 0.39801; 0.316169; 0.238806
174; 0.343284; 0.297015; 0.248756
175; 0.368159; 0.298259; 0.218905
176; 0.368159; 0.30398; 0.238806
177; 0.368159; 0.313433; 0.243781
178; 0.378109; 0.311194; 0.233831
179; 0.373134; 0.301244; 0.218905
180; 0.368159; 0.292289; 0.233831
